semi_major_axis_km,eccentricity,inclination_deg,orbital_period_min,apogee_km,perigee_km,right_ascension_deg,argument_perigee_deg,debris_size_cm,debris_mass_kg,radar_cross_section_m2,debris_age_years,material_density_kgm3,relative_velocity_kms,miss_distance_km,closest_approach_time_hr,relative_angular_momentum,collision_prob_raw,sat_altitude_km,sat_velocity_kms,sat_mass_kg,sat_orbital_energy_j,sat_antenna_gain_db,sat_power_w,solar_flux_index,geomagnetic_index,atmospheric_drag_coeff,space_weather_index,ionospheric_delay_ms,range_error_m,velocity_error_ms,azimuth_deg,elevation_deg,sensor_noise_db,tracking_accuracy_m,orbital_energy_j,relative_inclination_deg,debris_kinetic_energy_j,sat_maneuverability_score,collision_time_window_min,risk_level
-0.09377179973835922,-0.3023962417617209,-0.3132666141203474,0.2501497495003425,0.2429372526106334,0.2224429243671257,-0.362949650163734,-0.298188946275624,-0.29516089334752577,-0.310972654450903,4.417805345523101,-0.3434622890605739,-0.2962384052540793,-0.388987275148943,-0.7009970234566811,-0.30010237352939956,-0.27966480937719657,0.5448406792057408,-0.4687963634795176,-0.1195038001322084,-0.2612856150069711,-0.5094013797907708,3.8001827071856735,-0.533949983267077,-0.2837955711151633,-0.4284329867889369,4.153584869626898,4.795975964845875,-0.49488081775361953,-0.4129592360757827,-0.318873662440286,-0.5578739928629078,-0.5427621310525399,-0.4084241209482761,-0.3183912946133506,4.606157737371725,-0.9337245962514107,-0.3516570252826448,-0.29102749203792255,-0.3183495463290496,0
-0.08222353552051057,-0.2622160921037128,-0.2512673944477251,0.26687870171490014,0.25308697104284267,0.22311956412694114,-0.29297144637655304,-0.2294865659824121,-0.23128244927936814,-0.2338216756055409,-0.2169150132158768,-0.26563541567805216,-0.24328803112106254,-0.38495747681087145,-0.7009469700739535,-0.23867999440840576,-0.20847607625826006,0.14539698519774039,-0.44703090881475127,-0.12070807732103343,-0.19525805804197324,-0.520444155526301,-0.505447496253635,,-0.23791827810712893,-0.35988559005886195,-0.5889515253622873,-0.22968106419868628,-0.6979448217673841,-0.33377371205505674,-0.25223287302300035,-0.6154847611009036,-0.4190308189796637,-0.34575356952776126,-0.24801779231683602,-0.37286705309688145,-1.1748439161533766,-0.30921673594214605,,-0.24627696406713198,0
-0.06750133235701156,-0.15324603797804928,-0.16853219572254108,0.2882234284769936,0.2702451785570402,0.2517327121294385,-0.10370554064255835,-0.14186234391808633,-0.14059703610335145,-0.15757807220892886,-0.12755542130584677,-0.14986908672578625,-0.1329701604841328,-0.12996094213743198,-0.7009084806868621,-0.15447740248992034,-0.13587269977065647,0.8885737099130636,-0.19499601148567733,-0.0681964778416153,-0.08949250947707042,-0.19779333578720404,-0.08319297396978052,-0.07904697389911625,-0.1163334873156324,-0.08927019499498512,-0.28589385206594015,-0.12660902519771738,4.285306318821873,-0.167857199461024,-0.17298754211860273,0.019026006150313295,-0.2202754481272232,-0.13286111384523874,-0.11124388410778814,-0.0652210217514199,0.5910624669192135,-0.15901834410759674,-0.160525767579773,-0.16139603292613358,0
-0.07692221308017026,-0.19589499332650676,-0.20001662723892671,0.2745547932610089,0.24891762905640039,0.23697050738633307,-0.3056447730360603,-0.20109531923353247,-0.20407232241640388,-0.2176068571344344,-0.1991194063214831,-0.2582232054480136,-0.18898615799994875,-0.34373483945675004,,-0.19674383792141073,-0.1878965139638109,-0.289570464516473,4.590619817158205,-0.0920259826779803,-0.1742492989850591,-0.39712237620573904,,-0.4425880781911107,-0.18436588337458631,-0.24837686940112538,-0.5147001711585844,-0.21450457530069386,-0.5966952699935444,-0.2905625667624143,-0.20996873853816592,-0.4599780759449584,-0.3582835577310221,-0.3139807408757543,-0.18696494070559347,-0.24013483198875163,-0.7751886509096291,-0.24314878779828444,-0.19298266221764088,-0.20411623375505872,2
-0.158437626170833,-0.7514395487426144,-0.7363448954386176,0.15691100731127897,0.1479779870274418,0.1226680419619496,-0.7093876914067824,-0.7044269512493992,-0.7154809292980664,-0.6886872397235205,-0.710490922441169,-0.7219330974340759,-0.6509296662280437,-0.7904051125211526,-0.7013430477284527,-0.7228268417838506,-0.7105952041654998,-0.28768577337527573,-0.5062985984740321,-0.1563062675963273,-0.7208640954274808,-0.6650506676866292,-0.5461182291941618,-0.728467971858012,-0.542187069025959,-0.636365317100315,-0.316185693169962,-0.7066591276524179,-0.5899834355915063,-0.6510265275194779,-0.7218934948611231,-0.42393782080953796,-1.02158577958977,-0.7080993810668007,-0.7148212487293372,-0.6947529766264597,-0.19041665845135292,-0.75053573378652,-0.7068223818918854,-0.7136283276908982,0
-0.04924107704430413,-0.0014077981048513978,-0.03373527253852831,0.31472131405851794,0.2962782530108828,-2.3817952285181816,-0.011154154750297742,-0.01601079875664,-0.062509737650544,,-0.05054290781503924,-0.03252285063665026,-0.0378097674349512,-0.01591265454478028,-0.7007926222958574,-0.04688279815224637,-0.026518999264905935,-3.123356487196241,0.031050750342062422,-0.03531727973762103,4.984466410633593,4.705625683758264,0.14509281730512072,,-0.041129162613780954,0.023844242622535487,-0.041714121768733264,4.268787748734672,0.07421252373111102,0.01745490980634572,-0.03943039794551183,0.01987657967424704,0.017610129413867737,-0.01908285104954784,-0.000739824435758197,0.07415632504349134,0.47199210123545676,-0.02409613220572743,-0.03161885730792416,4.453979675790685,1
-0.06857725624547073,-0.15473051925817644,-0.157085393761734,0.28666751874077406,0.26036454437120016,0.24936587385000994,-0.1633604818461275,-0.13439572238830477,-0.16063040206536275,-0.12418208738594419,-0.14005114177740224,-0.16167654935440123,-0.14683555930124,-0.222117769652444,-0.7008823919905095,-0.16299458305912445,-0.11763269045601243,,-0.24135425095829988,3.8015925663397776,-0.10523556372593165,-0.3431837259610059,-0.19765906462748692,-0.33647372087658795,-0.14550605284876655,-0.19914939356049013,-0.40838933678654676,-0.1382977629542946,,-0.16735546895608874,-0.16076021086287276,-0.34417698793203455,-0.21347791520994622,-0.2048679597043191,,-0.14939894730674344,-0.4601467411315703,-0.19769404609618044,-0.14093789240565638,-0.16037835422393668,1
-0.054318526679144497,-0.04072769731197326,-0.0992322404855024,0.30736094259223795,0.2863281736597976,0.27215729062679056,,-0.05786738614079353,-0.0870326812387402,-0.04366348082508984,-0.08348841840803292,-0.036389832665719914,-0.09932123580807264,0.07906686112220353,-0.7008512192193561,,-0.09026540553665575,-3.122756791492444,0.14691711700441024,-0.025220558609448662,-0.03604120613013257,0.18865507759180503,0.12439062142853463,0.3041645019672065,-0.08456512564205315,0.014957548442986779,0.252965728043091,-0.05008706546693661,0.3852552819517565,-0.03584313429288142,-0.10462999915079695,0.3168453586719326,-0.0609504027022008,0.036239656431175674,-0.0687703837207401,0.010122432026351486,1.3971962201274193,-0.01917748793069085,-0.091136075480325,-0.10546313220702723,0
-0.060724649836358356,-0.14367799901526354,-0.1466468404546116,0.29806744744837277,0.26791044229749883,0.26123660173464247,-0.08096964469215776,-0.11328900299731252,-0.15523955152640526,-0.057200587625524164,-0.15907874316847626,-0.09728553126265481,-0.16053625167934177,-0.2078763956865193,-0.7008622564092817,-0.1326804149792468,-0.16172751343647618,0.14245779479467838,0.04638991846898996,-0.05247329689980803,-0.14479265320461493,,-0.04925915092528681,-0.03254658320769856,,-0.0001318242907231662,0.04107102066241804,-0.09468929999852962,,,-0.12019326052213151,-0.10092715909369973,-0.1007087487210854,-0.07743673770724488,-0.14044620231748225,-0.1605779140691746,0.20425295129652427,-0.12284966900310378,-0.13621428319237489,-0.1346027264979625,1
-0.08770182373380367,-0.2613948154444756,-0.269622524149085,-3.459830024324565,0.24365687546400364,0.21181558806760845,-0.32188668073272036,-0.25840943513842385,3.4915292598191443,-0.26223302510949104,-0.25645440942121145,-0.30259562907798865,-0.24997892893590215,-0.35016635847963384,-0.7009646262268585,-0.26727939727092254,3.9571613352428763,-3.1303820442743797,-0.39700438082211026,-0.10663501992139963,-0.22933523760409,-0.446803576525959,-0.36503514468420584,-0.4723280652688451,3.7845656899257443,-0.3410434118254449,-0.42560543624742836,-0.2742792068851046,-0.44548044566899375,-0.32417436627978835,-0.270454342062851,-0.48177395263560646,-0.44621632907047465,-0.35713854692754976,-0.26378650588758595,-0.31190750499121606,-0.7833665671659412,-0.3095540568003079,-0.253175090852576,-0.27634867986657974,0
